Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
IINCOME AVERAGING,4.Part,0,II NCOME A VERAGING,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IINDIVIDUAL EMPLOYER PLANS,4.Part,0,II NDIVIDUAL EMP LOYER P LAN S,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
ILIFE INSURANCE COMPANIES,4.Part,5,ILIFE I NSURAN CE CO MPANIES,4.Part,18,2,0.8003735542297363,0,0.0,0,0.0,0,0
IORGANIZATION AND JURISDICTION,4.Part,0,IO RGANIZATION AN D J URIS DICTI ON,4.Part,10,0,0.0,0,0.0,0,0.0,0,0
IPENSION PROFITSHARING STOCK BONUS PLANS ETC,4.Part,5,IP ENSION PROFIT SHARING STOCK BONUS P LAN S ETC,4.Part,26,2,0.8298129439353943,0,0.0,0,0.0,0,0
IPERSONS,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IPROPERTY SUBJECT TO FORFEITURE,4.Part,0,IP ROPERTY S UBJECT TO FORFEITU RE,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IREGULATED INVESTMENT COMPANIES,4.Part,0,IREG ULATED I NVE STME NT COMPANIES,4.Part,6,0,0.0,0,0.0,0,0.0,0,0
IRULES OF GENERAL APPLICATION TO BANKING INSTITUTIONS,4.Part,0,IR ULES O F G ENERAL AP PLICATION TO B ANKING INSTITUTI ONS,4.Part,5,0,0.0,0,0.0,0,0.0,0,0
ISPECIAL OCCUPATIONAL TAXES,4.Part,0,IS PECI AL OCCUP ATIONAL TAXE S,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
ISPORTING GOODS,4.Part,0,IS PORTING GOO DS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
ITAX IMPOSED,4.Part,0,IT AX I MPOSED,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
ITAX ON INDIVIDUALS,4.Part,5,IT AX O N INDIVIDUALS,4.Part,5,9,1.0000000132454767,9,0.0,9,1.0,9,9
ITERMINATION OF TAXABLE YEAR,4.Part,0,ITE RMINATION O F T AXABL E YE AR,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
ITREATMENT OF CAPITAL GAINS,4.Part,0,ITRE ATME NT O F C APITAL G AINS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IVINEGAR PLANTS,4.Part,0,IVI NEGAR P LANT S,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
VIIIREPEALED,4.Part,0,IXREP EALED,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
VIALTERNATIVE MINIMUM TAX,4.Part,2,VIAL TERNATIVE M INIMUM T AX,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
VIEXTENSION OF TIME FOR FILING RETURNS,4.Part,0,VIEXTE NSION O F TI ME F OR FI LING RETU RNS,4.Part,49,0,0.0,0,0.0,0,0.0,0,0
VIITEMIZED DEDUCTIONS FOR INDIVIDUALS AND CORPORATIONS,4.Part,0,VIITEM IZED D EDUCTI ONS F OR INDIVIDUALS AN D CO RPORATIONS,4.Part,75,0,0.0,0,0.0,0,0.0,0,0
VIPOLITICAL ORGANIZATIONS,4.Part,0,VIP OLITI CAL O RGANIZATIONS,4.Part,5,0,0.0,0,0.0,0,0.0,0,0
VIREPEALED,4.Part,0,VIREP EALED,4.Part,17,0,0.0,0,0.0,0,0.0,0,0
VCARRYOVERS,4.Part,0,VC ARRYOVERS,4.Part,6,0,0.0,0,0.0,0,0.0,0,0
VCLAIM OF RIGHT,4.Part,0,VC ARRYOVERS,4.Part,6,0,0.0,0,0.0,0,0.0,0,0
VCONTINENTAL SHELF AREAS,4.Part,0,VCO NTI NENTAL S HELF A REAS,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
VDEDUCTIONS FOR PERSONAL EXEMPTIONS,4.Part,0,VD EDUCTI ONS F OR P ERSO NAL EXEMPTI ONS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
VINTERNATIONAL BOYCOTT DETERMINATIONS,4.Part,0,VI NTE RNATIONAL BO YCOTT DETE RMINATIONS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
VREGULATIONS,4.Part,0,VREG ULATIONS,4.Part,30,0,0.0,0,0.0,0,0.0,0,0
VSHIPOWNERS PROTECTION AND INDEMNITY ASSOCIATIONS,4.Part,0,VS HIPOWNERS PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
VSPECIAL RULES FOR BONDS AND OTHER DEBT INSTRUMENTS,4.Part,4,VS PECI AL R ULES F OR BO NDS AN D OTHER D EBT I NSTRUMENTS,4.Part,13,2,0.8070374131202698,0,0.0,0,0.0,0,0
VTIME FOR FILING RETURNS AND OTHER DOCUMENTS,4.Part,0,VTI ME F OR FI LING RETU RNS AN D OTHER DOCU MENTS,4.Part,9,0,0.0,0,0.0,0,0.0,0,0
XTERMINAL RAILROAD CORPORA TIONS AND THEIR SHAREHOLDERS,4.Part,0,XTE RMINAL RAI LRO AD CORPORATIONS AN D T HEIR S HAREHOLDERS,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
AAdditions to the Tax and Additional Amounts,3.Subchapter,3,AAdditions to the Tax and Additional Amounts,3.Subchapter,2,2,0.8692023754119873,4,4.0,0,0.0,0,0
AApplication of Internal Revenue Laws,3.Subchapter,0,AApplication of Internal Revenue Laws,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AAutomotive and Related Items,3.Subchapter,3,AAutomotive and Related Items,3.Subchapter,3,6,0.822231650352478,6,5.333333333333333,0,0.0,0,0
ACivil Actions by the United States,3.Subchapter,0,ACivil Actions by the United States,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ACrimes,3.Subchapter,2,ACrimes,3.Subchapter,2,2,0.8776650428771973,4,4.0,0,0.0,0,0
ADefinitions of General Applicability,3.Subchapter,0,ADefinitions of General Applicability,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ADefinitions Rate and Payment of Tax Exemption From Tax and Refund,3.Subchapter,0,ADefinitions Rate and P ayment of Tax Exemption F rom Tax and Refund and,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ADetermination of Tax Liability,3.Subchapter,8,ADetermination of Tax Liability,3.Subchapter,6,10,0.8611446261405945,13,3.230769230769231,0,0.0,0,0
AEstablishment of Trust Funds,3.Subchapter,0,AEstablishment of Trust Funds,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AEstates of Citizens or Residents,3.Subchapter,4,AEstates of Citizens or Residents,3.Subchapter,4,8,0.8578612357378006,8,4.75,0,0.0,0,0
AExamination and Inspection,3.Subchapter,0,AExamination and Inspection,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AGallonage and Occupational Taxes,3.Subchapter,2,AGallonage and Occupational Taxes,3.Subchapter,2,2,0.8017556071281433,4,4.0,0,0.0,0,0
AGeneral Provisions,3.Subchapter,0,AGeneral Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AHarbor Maintenance Tax,3.Subchapter,0,AHarbor Maintenance Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AIn General,3.Subchapter,0,AIn General,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AInterest on Underpayments,3.Subchapter,0,AInterest on Underpayments,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AJeopardy,3.Subchapter,3,AJ eopardy,3.Subchapter,3,6,0.8435337940851847,6,4.666666666666667,0,0.0,0,0
ALicensing,3.Subchapter,0,ALicensing,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ALimitations on Assessment and Collection,3.Subchapter,0,ALimitations on Assessment and,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ANonresident Aliens and Foreign Corporations,3.Subchapter,0,ANonresident Aliens and F oreign Corporations,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
APlace and Due Date for Payment of Tax,3.Subchapter,0,APlace and Due Date for Payment of Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
APolicies Issued By Foreign Insurers,3.Subchapter,0,AP olicies Issued By F oreign Insurers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
APrivate Foundations,3.Subchapter,0,APrivate F oundations,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AProcedure in General,3.Subchapter,0,AProcedure in General,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ARepealed,3.Subchapter,0,ARepealed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ARequirements Relating to Portability Access and Renewability,3.Subchapter,0,ARequirements Relating to Portability Access and Renewability,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AReturns and Payment of Tax,3.Subchapter,0,AReturns and P ayment of Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AReturns and Records,3.Subchapter,8,AReturns and Records,3.Subchapter,6,12,1.2305827935536702,10,5.6,0,0.0,0,0
ATax Imposed,3.Subchapter,0,AT ax Imposed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ATax on Employees,3.Subchapter,0,AT ax on Employees,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ATax on Petroleum,3.Subchapter,0,AT ax on Wagers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ATax on Wagers,3.Subchapter,0,AT ax on Wagers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ATaxes,3.Subchapter,2,AT axes,3.Subchapter,3,4,1.287068396806717,4,4.0,0,0.0,0,0
BApplication of Withholding Provisions,3.Subchapter,0,BApplication of Withholding Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BAssessable Penalties,3.Subchapter,2,BAssessable P enalties,3.Subchapter,2,0,0.0,2,3.0,0,0.0,0,0
BBlack Lung Benefit Trusts,3.Subchapter,0,BBlack Lung Benefit Trusts,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BCoal,3.Subchapter,0,BCoal,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BCombined Benefit Fund,3.Subchapter,3,BCombined Benefit Fund,3.Subchapter,3,4,0.8376430571079254,6,5.666666666666667,0,0.0,0,0
BCommunications,3.Subchapter,0,BCommunications,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BComputation of Taxable Income,3.Subchapter,11,BComputation of Taxable Income,3.Subchapter,8,18,2.7094428737958274,16,6.375,0,0.0,0,0
BDeficiency Procedures in the Case of Income Estate Gift and Certain Ex,3.Subchapter,0,BDeficiency Procedures in the Case of Income Estate Gift and Certain Ex,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BEffective Date and Related Provisions,3.Subchapter,0,BEffective Date and Related Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BEstates of Nonresidents Not Citizens,3.Subchapter,0,BEstates of Nonresidents Not Citizens,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BExtensions of Time for Payment,3.Subchapter,0,BExtensions of Time for Payment,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BGeneral Powers and Duties,3.Subchapter,0,BGeneral P owers and Duties,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BGeneral Provisions,3.Subchapter,0,BGeneral Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BGeneral Provisions and Exemptions,3.Subchapter,3,BGeneral Provisions and Exemptions,3.Subchapter,2,2,0.8525147438049316,4,2.0,0,0.0,0,0
BGenerationSkipping Transfers,3.Subchapter,0,BGenerationSkipping Transfers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BInsured and SelfInsured Health Plans,3.Subchapter,0,BInsured and SelfInsured Health Plans,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BInterest on Overpayments,3.Subchapter,0,BInterest on Overpayments,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BLimitations on Credit or Refund,3.Subchapter,0,BLimitations on Credit or Refund,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BMiscellaneous Provisions,3.Subchapter,0,BMiscellaneous Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BOccupational Tax,3.Subchapter,0,BOccupational Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BOther Offenses,3.Subchapter,0,BOther Offenses,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BOther Requirements,3.Subchapter,0,BOther Requirements,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BProceedings by Taxpayers and Third Parties,3.Subchapter,0,BProceedings by Taxpayers and Third P arties,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BQualification Requirements for Distilled Spirits Plants,3.Subchapter,0,BQualification Requirements for Distilled Spirits Plants,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BQualification Requirements for Manufacturers and Importers of Tobacco,3.Subchapter,0,BQualification Requirements for Manufacturers and Importers of Tobacco Prod,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BReceipt of Payment,3.Subchapter,0,BReceipt of P ayment,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BReceiverships Etc,3.Subchapter,0,BReceiverships Etc,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BRegistration,3.Subchapter,0,BRegistration,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BRelated Rules,3.Subchapter,2,BRelated Rules,3.Subchapter,2,4,0.865443229675293,4,2.5,0,0.0,0,0
BRules of Special Application,3.Subchapter,0,BRules of Special Application,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BSpecial Fuels,3.Subchapter,0,BSpecial Fuels,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BTax on Certain Chemicals,3.Subchapter,0,BT ax on Certain Chemicals,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BTax on Employee Representatives,3.Subchapter,0,BT ax on Employee Representatives,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BTax on Employers,3.Subchapter,0,BT ax on Employers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BTransfers,3.Subchapter,0,BT ransfers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
BTransportation by Water,3.Subchapter,0,BT ransportation by Water,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CCertain Vaccines,3.Subchapter,0,CCertain Vaccines,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CCorporate Distributions and Adjustments,3.Subchapter,6,CCorporate Distributions and Adjustments,3.Subchapter,6,12,1.144139975309372,10,4.6,0,0.0,0,0
CDeductions,3.Subchapter,0,CDeductions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CDetermination of Interest Rate Compounding of Interest,3.Subchapter,0,CDetermination of Interest Rate Compounding of Interest,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CForfeitures,3.Subchapter,2,CF orfeitures,3.Subchapter,2,4,1.697306603193283,4,3.5,0,0.0,0,0
CGeneral Provisions,3.Subchapter,0,CGeneral Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CHealth Benefits of Certain Miners,3.Subchapter,3,CHealth Benefits of Certain,3.Subchapter,3,6,1.1159993012746174,6,3.3333333333333335,0,0.0,0,0
CHeavy Trucks and Trailers,3.Subchapter,0,CHeavy Trucks and Trailers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CLien for Taxes,3.Subchapter,2,CLien for Taxes,3.Subchapter,2,2,0.812757134437561,4,3.0,0,0.0,0,0
CMiscellaneous,3.Subchapter,0,CMiscellaneous,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CMiscellaneous Provisions,3.Subchapter,0,CMiscellaneous Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CMitigation of Effect of Period of Limitations,3.Subchapter,0,CMitigation of Effect of P eriod of Limitations,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
COperation of Distilled Spirits Plants,3.Subchapter,2,COperation of Distilled Spirits Plants,3.Subchapter,2,2,0.9008020162582397,4,3.5,0,0.0,0,0
COperations by Manufacturers and Importers of Tobacco Products and Ciga,3.Subchapter,0,COperations by Manufacturers and Importers of Tobacco Products and Ciga,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CPolitical Expenditures of,3.Subchapter,0,CP olitical Expenditures of,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CProcedural Requirements,3.Subchapter,0,CProcedural Requirements,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CProhibited Acts,3.Subchapter,0,CProhibited Acts,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CProvisions Affecting More Than One,3.Subchapter,0,CProvisions Affecting More Than One,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CRepealed,3.Subchapter,0,CRepealed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CTax on Certain Imported Substances,3.Subchapter,0,CT ax on Certain Imported Substances,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CTax on Employers,3.Subchapter,0,CT ax on Employers,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CTaxable Amount,3.Subchapter,0,CT axable Amount,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
CThe Tax Court,3.Subchapter,4,CThe Tax Court,3.Subchapter,4,2,0.8382495045661926,8,3.5,0,0.0,0,0
CTransportation by Air,3.Subchapter,6,CT ransportation by Air,3.Subchapter,6,8,0.841171458363533,8,7.75,0,0.0,0,0
CTreatment of Partnerships,3.Subchapter,2,CT reatment of P artnerships,3.Subchapter,5,4,0.8334546983242035,5,6.0,0,0.0,0,0
DCourt Review of Tax Court Decisions,3.Subchapter,0,DCourt Review of Tax Court Decisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DDeferred Compensation Etc,3.Subchapter,4,DDeferred Compensation Etc,3.Subchapter,2,4,0.8767115473747253,4,4.0,0,0.0,0,0
DFailure by Certain Charitable Organizations To Meet Certain Qualification,3.Subchapter,0,DF ailure by Certain Charitable Organizations To Meet Certain Qualification,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DGST Exemption,3.Subchapter,0,DGST Exemption,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DGeneral Provisions,3.Subchapter,0,DGeneral Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DIndustrial Use of Distilled Spirits,3.Subchapter,1,DIndustrial Use of Distilled Spirits,3.Subchapter,1,2,0.8759143948554993,2,1.0,0,0.0,0,0
DMiscellaneous Penalty and Forfeiture Provisions,3.Subchapter,0,DMiscellaneous P enalty and Forfeiture Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DNotice Requirements,3.Subchapter,0,DNotice Requirements,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DOccupational Tax,3.Subchapter,0,DOccupational Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DOther Provisions,3.Subchapter,0,DOther Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DOzoneDepleting Chemicals Etc,3.Subchapter,0,DOzoneDepleting Chemicals Etc,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DPenalties and Forfeitures,3.Subchapter,0,DP enalties and F orfeitures,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DPeriods of Limitation in Judicial Proceedings,3.Subchapter,0,DP eriods of Limitation in Judicial Proceedings,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DPossessions,3.Subchapter,0,DP ossessions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DRecreational Equipment,3.Subchapter,3,DRecreational Equipment,3.Subchapter,3,4,0.8800022602081299,6,6.333333333333333,0,0.0,0,0
DRepealed,3.Subchapter,0,DRepealed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
DSeizure of Property for Collection of Taxes,3.Subchapter,2,DSeizure of Property for Collection of Taxes,3.Subchapter,2,2,0.8166703581809998,4,3.5,0,0.0,0,0
DTax on Use of Certain Vehicles,3.Subchapter,0,DT ax on Use of Certain Vehicles,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
EAbatement of First and Second Tier Taxes in Certain Cases,3.Subchapter,0,EAbatement of F irst and Second Tier Taxes in Certain Cases,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
EApplicable Rate Inclusion Ratio,3.Subchapter,0,EApplicable Rate Inclusion Ratio,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
EBurden of Proof,3.Subchapter,0,EBurden of Proof,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
EGeneral Provisions Relating to Distilled Spirits,3.Subchapter,3,EGeneral Provisions Relating to Distilled Spirits,3.Subchapter,3,4,1.279704749584198,4,5.5,0,0.0,0,0
EMedical Devices,3.Subchapter,0,EMedical Devices,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ERecords of Manufacturers and Importers of Tobacco Products and Cigarette,3.Subchapter,0,ERecords of Manufacturers and Importers of Tobacco Products and Cigarette,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ERepealed,3.Subchapter,0,ERepealed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ESpecial Provisions Applicable to Services and Facilities Taxes,3.Subchapter,0,ESpecial Provisions Applicable to Services and F acilities Taxes,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
ETier Tax Rate Determination,3.Subchapter,0,ET ier Tax Rate Determination,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
FBonded and Taxpaid Wine Premises,3.Subchapter,4,FBonded and Taxpaid Wine,3.Subchapter,4,6,0.8747673233350118,8,7.5,0,0.0,0,0
FExempt Organizations,3.Subchapter,8,FExempt Organizations,3.Subchapter,6,14,1.3053052084786552,12,3.6666666666666665,0,0.0,0,0
FGeneral Provisions,3.Subchapter,0,FGeneral Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
FOther Definitions and Special Rules,3.Subchapter,0,FOther Definitions and Special Rules,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
FRepealed,3.Subchapter,0,FRepealed,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
FSpecial Provisions Applicable to Manufacturers Tax,3.Subchapter,0,FSpecial Provisions Applicable to Manufacturers Tax,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
FTax Shelter Transactions,3.Subchapter,0,FT ax Shelter Transactions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
GAdministration,3.Subchapter,0,GAdministration,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
GBreweries,3.Subchapter,2,GBreweries,3.Subchapter,2,2,0.8861222267150879,4,1.5,0,0.0,0,0
GCorporations Used to Avoid Income Tax on Shareholders,3.Subchapter,4,GCorporations Used to Avoid Income Tax on Shareholders,3.Subchapter,4,8,1.0964735746383667,8,3.0,0,0.0,0,0
GDonor Advised Funds,3.Subchapter,0,GDonor Advised Funds,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
GExemptions Registration Etc,3.Subchapter,0,GExemptions Registration Etc,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
GPenalties and Forfeitures,3.Subchapter,0,GP enalties and F orfeitures,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
HBanking Institutions,3.Subchapter,2,HBanking Institutions,3.Subchapter,2,4,0.8663625419139862,4,5.0,0,0.0,0,0
HExcise Tax Based on Invest ment Income of Private Colleges and Univer,3.Subchapter,0,HExcise Tax Based on Investment Income of Private Colleges and Universities,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
HMiscellaneous Plants and Warehouses,3.Subchapter,1,HMiscellaneous Plants and Warehouses,3.Subchapter,3,2,0.8029376268386841,3,8.666666666666666,0,0.0,0,0
IMiscellaneous General Provisions,3.Subchapter,2,IMiscellaneous General Provisions,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
INatural Resources,3.Subchapter,4,INatural Resources,3.Subchapter,5,6,0.8478187322616577,8,5.25,0,0.0,0,0
JEstates Trusts Beneficiaries and Decedents,3.Subchapter,3,JEstates Trusts Beneficiaries and Decedents,3.Subchapter,2,4,0.8785451650619507,4,4.5,0,0.0,0,0
JPenalties Seizures and Forfeitures Relating to Liquors,3.Subchapter,5,JP enalties Seizures and Forfeitures Relating to Liquors,3.Subchapter,5,8,3.1506611853837967,2,1.0,0,0.0,0,0
KPartners and Partnerships,3.Subchapter,3,KP artners and P artnerships,3.Subchapter,3,4,0.8977735936641693,6,4.0,0,0.0,0,0
LInsurance Companies,3.Subchapter,4,LInsurance Companies,3.Subchapter,4,6,0.8329334656397501,8,6.75,0,0.0,0,0
NTax Based on Income From Sources Within or Without the United States,3.Subchapter,6,NT ax Based on Income F rom Sources Within or Without the United States,3.Subchapter,5,10,2.0369629502296447,8,4.75,0,0.0,0,0
OGain or Loss on Disposition of Property,3.Subchapter,7,OGain or Loss on Disposition of Property,3.Subchapter,7,8,0.8765476197004318,13,9.538461538461538,0,0.0,0,0
PCapital Gains and Losses,3.Subchapter,8,PCapital Gains and Losses,3.Subchapter,6,10,2.4912598013877867,12,9.5,0,0.0,0,0
QReadjustment of Tax Between Years and Special Limitations,3.Subchapter,7,QReadjustment of Tax Between Years and Special Limitations,3.Subchapter,6,11,1.084183313629844,12,5.666666666666667,0,0.0,0,0
RElection To Determine Cor porate Tax on Certain International Shipping,3.Subchapter,0,RElection To Determine Corpo rate Tax on Certain International Shipping,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
STax Treatment of S Corporations and Their Shareholders,3.Subchapter,4,ST ax Treatment of S Corporations and Their Shareholders,3.Subchapter,4,6,0.864865223566691,8,3.0,0,0.0,0,0
TCooperatives and Their Patrons,3.Subchapter,3,TCooperatives and Their P atrons,3.Subchapter,2,2,0.8905295133590698,2,4.0,0,0.0,0,0
UDesignation and Treatment of Empowerment Zones Enterprise Commu,3.Subchapter,4,UDesignation and Treatment of Empowerment Zones Enterprise Communities,3.Subchapter,3,6,1.1511684656143188,4,4.0,0,0.0,0,0
VTitle Cases,3.Subchapter,1,VT itle Cases,3.Subchapter,2,2,0.813069224357605,2,1.0,0,0.0,0,0
ZOpportunity Zones,3.Subchapter,0,ZOpportunity Zones,3.Subchapter,0,0,0.0,0,0.0,0,0.0,0,0
AIncome Taxes,1.Subtitle,7,AIncome Taxes,1.Subtitle,1,2,0.9736862182617188,2,1.0,2,0.5,2,2
BEstate and Gift Taxes,1.Subtitle,5,BEstate and Gift Taxes,1.Subtitle,5,10,1.2607174873352052,10,3.4,4,0.7857142857142856,4,4
CEmployment Taxes,1.Subtitle,6,CEmployment Taxes,1.Subtitle,6,12,0.9967548946539561,12,0.3333333333333333,12,0.8541666666666666,12,12
DMiscellaneous Excise Taxes,1.Subtitle,21,DMiscellaneous Excise Taxes,1.Subtitle,21,41,2.854907614428823,41,2.0,19,0.9473684210526315,18,18
EAlcohol Tobacco and Certain Other Excise Taxes,1.Subtitle,5,EAlcohol Tobacco and Certain Other Excise Taxes,1.Subtitle,5,10,1.0213228940963746,7,0.7142857142857143,5,0.9,5,5
FProcedure and Administration,1.Subtitle,20,FProcedure and Administration,1.Subtitle,1,2,0.9498164653778076,2,1.0,0,0.0,0,0
